# id	 time	 x	 v
0	   0.000	   0.354	   0.000
1	   0.000	   0.763	   0.000
2	   0.000	   1.272	   0.000
3	   0.000	   1.781	   0.000
4	   0.000	   2.290	   0.000
5	   0.000	   2.799	   0.000
6	   0.000	   3.307	   0.000
7	   0.000	   3.816	   0.000
8	   0.000	   4.325	   0.000
9	   0.000	   4.834	   0.000
10	   0.000	   5.343	   0.000
11	   0.000	   5.851	   0.000
12	   0.000	   6.360	   0.000
13	   0.000	   6.869	   0.000
14	   0.000	   7.378	   0.000
15	   0.000	   7.887	   0.000
16	   0.000	   8.396	   0.000
17	   0.000	   8.904	   0.000
18	   0.000	   9.413	   0.000
19	   0.000	   9.922	   0.000
20	   0.000	  10.431	   0.000
21	   0.000	  10.940	   0.000
22	   0.000	  11.449	   0.000
23	   0.000	  11.957	   0.000
24	   0.000	  12.466	   0.000
25	   0.000	  12.975	   0.000
26	   0.000	  13.484	   0.000
27	   0.000	  13.993	   0.000
28	   0.000	  14.501	   0.000
29	   0.000	  15.010	   0.000
30	   0.000	  15.519	   0.000
31	   0.000	  16.028	   0.000
32	   0.000	  16.537	   0.000
33	   0.000	  17.046	   0.000
0	   0.125	   0.360	   0.078
1	   0.125	   0.769	   0.093
2	   0.125	   1.278	   0.093
3	   0.125	   1.787	   0.093
4	   0.125	   2.296	   0.093
5	   0.125	   2.805	   0.093
6	   0.125	   3.313	   0.093
7	   0.125	   3.822	   0.093
8	   0.125	   4.331	   0.093
9	   0.125	   4.840	   0.093
10	   0.125	   5.349	   0.093
11	   0.125	   5.858	   0.093
12	   0.125	   6.366	   0.093
13	   0.125	   6.875	   0.093
14	   0.125	   7.384	   0.093
15	   0.125	   7.893	   0.093
16	   0.125	   8.402	   0.093
17	   0.125	   8.911	   0.093
18	   0.125	   9.419	   0.093
19	   0.125	   9.928	   0.093
20	   0.125	  10.437	   0.093
21	   0.125	  10.946	   0.093
22	   0.125	  11.455	   0.093
23	   0.125	  11.963	   0.093
24	   0.125	  12.472	   0.093
25	   0.125	  12.981	   0.093
26	   0.125	  13.490	   0.093
27	   0.125	  13.999	   0.093
28	   0.125	  14.508	   0.093
29	   0.125	  15.016	   0.093
30	   0.125	  15.525	   0.093
31	   0.125	  16.034	   0.093
32	   0.125	  16.543	   0.093
33	   0.125	  17.052	   0.099
0	   0.250	   0.372	   0.121
1	   0.250	   0.785	   0.148
2	   0.250	   1.293	   0.148
3	   0.250	   1.802	   0.148
4	   0.250	   2.311	   0.148
5	   0.250	   2.820	   0.148
6	   0.250	   3.329	   0.148
7	   0.250	   3.838	   0.148
8	   0.250	   4.346	   0.148
9	   0.250	   4.855	   0.148
10	   0.250	   5.364	   0.148
11	   0.250	   5.873	   0.148
12	   0.250	   6.382	   0.148
13	   0.250	   6.891	   0.148
14	   0.250	   7.399	   0.148
15	   0.250	   7.908	   0.148
16	   0.250	   8.417	   0.148
17	   0.250	   8.926	   0.148
18	   0.250	   9.435	   0.148
19	   0.250	   9.943	   0.148
20	   0.250	  10.452	   0.148
21	   0.250	  10.961	   0.148
22	   0.250	  11.470	   0.148
23	   0.250	  11.979	   0.148
24	   0.250	  12.488	   0.148
25	   0.250	  12.996	   0.148
26	   0.250	  13.505	   0.148
27	   0.250	  14.014	   0.148
28	   0.250	  14.523	   0.148
29	   0.250	  15.032	   0.148
30	   0.250	  15.541	   0.148
31	   0.250	  16.049	   0.148
32	   0.250	  16.558	   0.145
33	   0.250	  17.069	   0.173
0	   0.375	   0.389	   0.151
1	   0.375	   0.806	   0.185
2	   0.375	   1.314	   0.185
3	   0.375	   1.823	   0.185
4	   0.375	   2.332	   0.185
5	   0.375	   2.841	   0.185
6	   0.375	   3.350	   0.185
7	   0.375	   3.858	   0.185
8	   0.375	   4.367	   0.185
9	   0.375	   4.876	   0.185
10	   0.375	   5.385	   0.185
11	   0.375	   5.894	   0.185
12	   0.375	   6.403	   0.185
13	   0.375	   6.911	   0.185
14	   0.375	   7.420	   0.185
15	   0.375	   7.929	   0.185
16	   0.375	   8.438	   0.185
17	   0.375	   8.947	   0.185
18	   0.375	   9.456	   0.185
19	   0.375	   9.964	   0.185
20	   0.375	  10.473	   0.185
21	   0.375	  10.982	   0.185
22	   0.375	  11.491	   0.185
23	   0.375	  12.000	   0.185
24	   0.375	  12.508	   0.185
25	   0.375	  13.017	   0.185
26	   0.375	  13.526	   0.185
27	   0.375	  14.035	   0.185
28	   0.375	  14.544	   0.185
29	   0.375	  15.053	   0.185
30	   0.375	  15.561	   0.185
31	   0.375	  16.070	   0.185
32	   0.375	  16.578	   0.180
33	   0.375	  17.094	   0.220
0	   0.500	   0.410	   0.174
1	   0.500	   0.830	   0.212
2	   0.500	   1.339	   0.212
3	   0.500	   1.848	   0.212
4	   0.500	   2.357	   0.212
5	   0.500	   2.866	   0.212
6	   0.500	   3.374	   0.212
7	   0.500	   3.883	   0.212
8	   0.500	   4.392	   0.212
9	   0.500	   4.901	   0.212
10	   0.500	   5.410	   0.212
11	   0.500	   5.919	   0.212
12	   0.500	   6.427	   0.212
13	   0.500	   6.936	   0.212
14	   0.500	   7.445	   0.212
15	   0.500	   7.954	   0.212
16	   0.500	   8.463	   0.212
17	   0.500	   8.972	   0.212
18	   0.500	   9.480	   0.212
19	   0.500	   9.989	   0.212
20	   0.500	  10.498	   0.212
21	   0.500	  11.007	   0.212
22	   0.500	  11.516	   0.212
23	   0.500	  12.024	   0.212
24	   0.500	  12.533	   0.212
25	   0.500	  13.042	   0.212
26	   0.500	  13.551	   0.212
27	   0.500	  14.060	   0.212
28	   0.500	  14.569	   0.212
29	   0.500	  15.077	   0.212
30	   0.500	  15.586	   0.211
31	   0.500	  16.095	   0.212
32	   0.500	  16.603	   0.206
33	   0.500	  17.124	   0.253
0	   0.625	   0.433	   0.192
1	   0.625	   0.858	   0.232
2	   0.625	   1.367	   0.232
3	   0.625	   1.876	   0.232
4	   0.625	   2.385	   0.232
5	   0.625	   2.893	   0.232
6	   0.625	   3.402	   0.232
7	   0.625	   3.911	   0.232
8	   0.625	   4.420	   0.232
9	   0.625	   4.929	   0.232
10	   0.625	   5.438	   0.232
11	   0.625	   5.946	   0.232
12	   0.625	   6.455	   0.232
13	   0.625	   6.964	   0.232
14	   0.625	   7.473	   0.232
15	   0.625	   7.982	   0.232
16	   0.625	   8.490	   0.232
17	   0.625	   8.999	   0.232
18	   0.625	   9.508	   0.232
19	   0.625	  10.017	   0.232
20	   0.625	  10.526	   0.232
21	   0.625	  11.035	   0.232
22	   0.625	  11.543	   0.232
23	   0.625	  12.052	   0.232
24	   0.625	  12.561	   0.232
25	   0.625	  13.070	   0.232
26	   0.625	  13.579	   0.232
27	   0.625	  14.088	   0.232
28	   0.625	  14.596	   0.232
29	   0.625	  15.105	   0.232
30	   0.625	  15.614	   0.232
31	   0.625	  16.123	   0.233
32	   0.625	  16.630	   0.226
33	   0.625	  17.157	   0.277
0	   0.750	   0.458	   0.207
1	   0.750	   0.888	   0.248
2	   0.750	   1.397	   0.248
3	   0.750	   1.906	   0.248
