# id	 time	 x	 v
0	   0.000	   0.225	   0.000
1	   0.000	   0.376	   0.000
2	   0.000	   0.627	   0.000
3	   0.000	   0.878	   0.000
4	   0.000	   1.128	   0.000
5	   0.000	   1.379	   0.000
6	   0.000	   1.630	   0.000
7	   0.000	   1.880	   0.000
8	   0.000	   2.131	   0.000
9	   0.000	   2.382	   0.000
10	   0.000	   2.633	   0.000
11	   0.000	   2.883	   0.000
12	   0.000	   3.134	   0.000
13	   0.000	   3.385	   0.000
14	   0.000	   3.636	   0.000
15	   0.000	   3.886	   0.000
16	   0.000	   4.137	   0.000
17	   0.000	   4.388	   0.000
18	   0.000	   4.638	   0.000
19	   0.000	   4.889	   0.000
20	   0.000	   5.140	   0.000
21	   0.000	   5.391	   0.000
22	   0.000	   5.641	   0.000
23	   0.000	   5.892	   0.000
24	   0.000	   6.143	   0.000
25	   0.000	   6.393	   0.000
26	   0.000	   6.644	   0.000
27	   0.000	   6.895	   0.000
28	   0.000	   7.146	   0.000
29	   0.000	   7.396	   0.000
30	   0.000	   7.647	   0.000
31	   0.000	   7.898	   0.000
32	   0.000	   8.149	   0.000
33	   0.000	   8.399	   0.000
34	   0.000	   8.650	   0.000
35	   0.000	   8.901	   0.000
36	   0.000	   9.151	   0.000
37	   0.000	   9.402	   0.000
38	   0.000	   9.653	   0.000
39	   0.000	   9.904	   0.000
40	   0.000	  10.154	   0.000
41	   0.000	  10.405	   0.000
42	   0.000	  10.656	   0.000
43	   0.000	  10.907	   0.000
44	   0.000	  11.157	   0.000
45	   0.000	  11.408	   0.000
46	   0.000	  11.659	   0.000
47	   0.000	  11.909	   0.000
48	   0.000	  12.160	   0.000
49	   0.000	  12.411	   0.000
50	   0.000	  12.662	   0.000
51	   0.000	  12.912	   0.000
52	   0.000	  13.163	   0.000
53	   0.000	  13.414	   0.000
54	   0.000	  13.664	   0.000
55	   0.000	  13.915	   0.000
56	   0.000	  14.166	   0.000
57	   0.000	  14.417	   0.000
58	   0.000	  14.667	   0.000
59	   0.000	  14.918	   0.000
60	   0.000	  15.169	   0.000
61	   0.000	  15.420	   0.000
62	   0.000	  15.670	   0.000
63	   0.000	  15.921	   0.000
64	   0.000	  16.172	   0.000
65	   0.000	  16.422	   0.000
66	   0.000	  16.673	   0.000
67	   0.000	  16.924	   0.000
68	   0.000	  17.175	   0.000
0	   0.125	   0.231	   0.080
1	   0.125	   0.386	   0.146
2	   0.125	   0.636	   0.146
3	   0.125	   0.887	   0.146
4	   0.125	   1.138	   0.146
5	   0.125	   1.389	   0.146
6	   0.125	   1.639	   0.146
7	   0.125	   1.890	   0.146
8	   0.125	   2.141	   0.146
9	   0.125	   2.391	   0.146
10	   0.125	   2.642	   0.146
11	   0.125	   2.893	   0.146
12	   0.125	   3.144	   0.146
13	   0.125	   3.394	   0.146
14	   0.125	   3.645	   0.146
15	   0.125	   3.896	   0.146
16	   0.125	   4.147	   0.146
17	   0.125	   4.397	   0.146
18	   0.125	   4.648	   0.146
19	   0.125	   4.899	   0.146
20	   0.125	   5.149	   0.146
21	   0.125	   5.400	   0.146
22	   0.125	   5.651	   0.146
23	   0.125	   5.902	   0.146
24	   0.125	   6.152	   0.146
25	   0.125	   6.403	   0.146
26	   0.125	   6.654	   0.146
27	   0.125	   6.905	   0.146
28	   0.125	   7.155	   0.146
29	   0.125	   7.406	   0.146
30	   0.125	   7.657	   0.146
31	   0.125	   7.907	   0.146
32	   0.125	   8.158	   0.146
33	   0.125	   8.409	   0.146
34	   0.125	   8.660	   0.146
35	   0.125	   8.910	   0.146
36	   0.125	   9.161	   0.146
37	   0.125	   9.412	   0.146
38	   0.125	   9.662	   0.146
39	   0.125	   9.913	   0.146
40	   0.125	  10.164	   0.146
41	   0.125	  10.415	   0.146
42	   0.125	  10.665	   0.146
43	   0.125	  10.916	   0.146
44	   0.125	  11.167	   0.146
45	   0.125	  11.418	   0.146
46	   0.125	  11.668	   0.146
47	   0.125	  11.919	   0.146
48	   0.125	  12.170	   0.146
49	   0.125	  12.420	   0.146
50	   0.125	  12.671	   0.146
51	   0.125	  12.922	   0.146
52	   0.125	  13.173	   0.146
53	   0.125	  13.423	   0.146
54	   0.125	  13.674	   0.146
55	   0.125	  13.925	   0.146
56	   0.125	  14.176	   0.146
57	   0.125	  14.426	   0.146
58	   0.125	  14.677	   0.146
59	   0.125	  14.928	   0.146
60	   0.125	  15.178	   0.146
61	   0.125	  15.429	   0.146
62	   0.125	  15.680	   0.146
63	   0.125	  15.931	   0.146
64	   0.125	  16.181	   0.146
65	   0.125	  16.432	   0.146
66	   0.125	  16.683	   0.146
67	   0.125	  16.933	   0.145
68	   0.125	  17.190	   0.232
0	   0.250	   0.244	   0.142
1	   0.250	   0.411	   0.247
2	   0.250	   0.661	   0.247
3	   0.250	   0.912	   0.247
4	   0.250	   1.163	   0.247
5	   0.250	   1.413	   0.247
6	   0.250	   1.664	   0.247
7	   0.250	   1.915	   0.247
8	   0.250	   2.166	   0.247
9	   0.250	   2.416	   0.247
10	   0.250	   2.667	   0.247
11	   0.250	   2.918	   0.247
12	   0.250	   3.169	   0.247
13	   0.250	   3.419	   0.247
14	   0.250	   3.670	   0.247
15	   0.250	   3.921	   0.247
16	   0.250	   4.171	   0.247
17	   0.250	   4.422	   0.247
18	   0.250	   4.673	   0.247
19	   0.250	   4.924	   0.247
20	   0.250	   5.174	   0.247
21	   0.250	   5.425	   0.247
22	   0.250	   5.676	   0.247
23	   0.250	   5.926	   0.247
24	   0.250	   6.177	   0.247
25	   0.250	   6.428	   0.247
26	   0.250	   6.679	   0.247
27	   0.250	   6.929	   0.247
28	   0.250	   7.180	   0.247
29	   0.250	   7.431	   0.247
30	   0.250	   7.682	   0.247
31	   0.250	   7.932	   0.247
32	   0.250	   8.183	   0.247
33	   0.250	   8.434	   0.247
34	   0.250	   8.684	   0.247
35	   0.250	   8.935	   0.247
36	   0.250	   9.186	   0.247
37	   0.250	   9.437	   0.247
38	   0.250	   9.687	   0.247
39	   0.250	   9.938	   0.247
40	   0.250	  10.189	   0.247
41	   0.250	  10.440	   0.247
42	   0.250	  10.690	   0.247
43	   0.250	  10.941	   0.247
44	   0.250	  11.192	   0.247
45	   0.250	  11.442	   0.247
46	   0.250	  11.693	   0.247
47	   0.250	  11.944	   0.247
48	   0.250	  12.195	   0.247
49	   0.250	  12.445	   0.247
50	   0.250	  12.696	   0.247
51	   0.250	  12.947	   0.247
52	   0.250	  13.198	   0.247
53	   0.250	  13.448	   0.247
54	   0.250	  13.699	   0.247
55	   0.250	  13.950	   0.247
56	   0.250	  14.200	   0.247
57	   0.250	  14.451	   0.247
58	   0.250	  14.702	   0.247
59	   0.250	  14.953	   0.247
60	   0.250	  15.203	   0.247
61	   0.250	  15.454	   0.247
62	   0.250	  15.705	   0.247
63	   0.250	  15.955	   0.247
64	   0.250	  16.206	   0.247
65	   0.250	  16.457	   0.247
66	   0.250	  16.708	   0.247
67	   0.250	  16.958	   0.251
68	   0.250	  17.229	   0.374
0	   0.375	   0.265	   0.194
1	   0.375	   0.446	   0.320
2	   0.375	   0.697	   0.320
3	   0.375	   0.948	   0.320
4	   0.375	   1.198	   0.320
5	   0.375	   1.449	   0.320
6	   0.375	   1.700	   0.320
7	   0.375	   1.951	   0.320
8	   0.375	   2.201	   0.320
9	   0.375	   2.452	   0.320
10	   0.375	   2.703	   0.320
11	   0.375	   2.953	   0.320
12	   0.375	   3.204	   0.320
13	   0.375	   3.455	   0.320
14	   0.375	   3.706	   0.320
15	   0.375	   3.956	   0.320
16	   0.375	   4.207	   0.320
17	   0.375	   4.458	   0.320
18	   0.375	   4.709	   0.320
19	   0.375	   4.959	   0.320
20	   0.375	   5.210	   0.320
21	   0.375	   5.461	   0.320
22	   0.375	   5.711	   0.320
23	   0.375	   5.962	   0.320
24	   0.375	   6.213	   0.320
25	   0.375	   6.464	   0.320
26	   0.375	   6.714	   0.320
27	   0.375	   6.965	   0.320
28	   0.375	   7.216	   0.320
29	   0.375	   7.466	   0.320
30	   0.375	   7.717	   0.320
31	   0.375	   7.968	   0.320
32	   0.375	   8.219	   0.320
33	   0.375	   8.469	   0.320
34	   0.375	   8.720	   0.320
35	   0.375	   8.971	   0.320
36	   0.375	   9.222	   0.320
37	   0.375	   9.472	   0.320
38	   0.375	   9.723	   0.320
39	   0.375	   9.974	   0.320
40	   0.375	  10.224	   0.320
41	   0.375	  10.475	   0.320
42	   0.375	  10.726	   0.320
43	   0.375	  10.977	   0.320
44	   0.375	  11.227	   0.320
45	   0.375	  11.478	   0.320
46	   0.375	  11.729	   0.320
47	   0.375	  11.980	   0.320
48	   0.375	  12.230	   0.320
49	   0.375	  12.481	   0.320
50	   0.375	  12.732	   0.320
51	   0.375	  12.982	   0.320
52	   0.375	  13.233	   0.320
53	   0.375	  13.484	   0.320
54	   0.375	  13.735	   0.320
55	   0.375	  13.985	   0.320
56	   0.375	  14.236	   0.320
57	   0.375	  14.487	   0.320
58	   0.375	  14.737	   0.320
59	   0.375	  14.988	   0.320
60	   0.375	  15.239	   0.320
61	   0.375	  15.490	   0.320
62	   0.375	  15.740	   0.320
63	   0.375	  15.991	   0.320
64	   0.375	  16.242	   0.320
65	   0.375	  16.493	   0.320
66	   0.375	  16.743	   0.319
67	   0.375	  16.995	   0.334
68	   0.375	  17.281	   0.451
0	   0.500	   0.293	   0.241
1	   0.500	   0.490	   0.371
2	   0.500	   0.740	   0.371
3	   0.500	   0.991	   0.371
4	   0.500	   1.242	   0.371
5	   0.500	   1.492	   0.371
6	   0.500	   1.743	   0.371
7	   0.500	   1.994	   0.371
8	   0.500	   2.245	   0.371
9	   0.500	   2.495	   0.371
10	   0.500	   2.746	   0.371
11	   0.500	   2.997	   0.371
12	   0.500	   3.247	   0.371
13	   0.500	   3.498	   0.371
14	   0.500	   3.749	   0.371
15	   0.500	   4.000	   0.371
16	   0.500	   4.250	   0.371
17	   0.500	   4.501	   0.371
18	   0.500	   4.752	   0.371
19	   0.500	   5.003	   0.371
20	   0.500	   5.253	   0.371
21	   0.500	   5.504	   0.371
22	   0.500	   5.755	   0.371
23	   0.500	   6.005	   0.371
24	   0.500	   6.256	   0.371
25	   0.500	   6.507	   0.371
26	   0.500	   6.758	   0.371
27	   0.500	   7.008	   0.371
28	   0.500	   7.259	   0.371
29	   0.500	   7.510	   0.371
30	   0.500	   7.761	   0.371
31	   0.500	   8.011	   0.371
32	   0.500	   8.262	   0.371
33	   0.500	   8.513	   0.371
34	   0.500	   8.763	   0.371
35	   0.500	   9.014	   0.371
36	   0.500	   9.265	   0.371
37	   0.500	   9.516	   0.371
38	   0.500	   9.766	   0.371
39	   0.500	  10.017	   0.371
40	   0.500	  10.268	   0.371
41	   0.500	  10.518	   0.371
42	   0.500	  10.769	   0.371
43	   0.500	  11.020	   0.371
44	   0.500	  11.271	   0.371
45	   0.500	  11.521	   0.371
46	   0.500	  11.772	   0.371
47	   0.500	  12.023	   0.371
48	   0.500	  12.274	   0.371
49	   0.500	  12.524	   0.371
50	   0.500	  12.775	   0.371
51	   0.500	  13.026	   0.371
52	   0.500	  13.276	   0.371
53	   0.500	  13.527	   0.371
54	   0.500	  13.778	   0.371
55	   0.500	  14.029	   0.371
56	   0.500	  14.279	   0.371
57	   0.500	  14.530	   0.371
58	   0.500	  14.781	   0.371
59	   0.500	  15.032	   0.371
60	   0.500	  15.282	   0.371
61	   0.500	  15.533	   0.371
62	   0.500	  15.784	   0.371
63	   0.500	  16.034	   0.371
64	   0.500	  16.285	   0.371
65	   0.500	  16.536	   0.371
66	   0.500	  16.787	   0.372
67	   0.500	  17.041	   0.403
68	   0.500	  17.340	   0.485
0	   0.625	   0.325	   0.284
1	   0.625	   0.538	   0.408
2	   0.625	   0.789	   0.408
3	   0.625	   1.040	   0.408
4	   0.625	   1.290	   0.408
5	   0.625	   1.541	   0.408
6	   0.625	   1.792	   0.408
7	   0.625	   2.043	   0.408
8	   0.625	   2.293	   0.408
9	   0.625	   2.544	   0.408
10	   0.625	   2.795	   0.408
11	   0.625	   3.046	   0.408
12	   0.625	   3.296	   0.408
13	   0.625	   3.547	   0.408
14	   0.625	   3.798	   0.408
15	   0.625	   4.048	   0.408
16	   0.625	   4.299	   0.408
17	   0.625	   4.550	   0.408
18	   0.625	   4.801	   0.408
19	   0.625	   5.051	   0.408
20	   0.625	   5.302	   0.408
21	   0.625	   5.553	   0.408
22	   0.625	   5.804	   0.408
23	   0.625	   6.054	   0.408
24	   0.625	   6.305	   0.408
25	   0.625	   6.556	   0.408
26	   0.625	   6.806	   0.408
27	   0.625	   7.057	   0.408
28	   0.625	   7.308	   0.408
29	   0.625	   7.559	   0.408
30	   0.625	   7.809	   0.408
31	   0.625	   8.060	   0.408
32	   0.625	   8.311	   0.408
33	   0.625	   8.562	   0.408
34	   0.625	   8.812	   0.408
35	   0.625	   9.063	   0.408
36	   0.625	   9.314	   0.408
37	   0.625	   9.564	   0.408
38	   0.625	   9.815	   0.408
39	   0.625	  10.066	   0.408
40	   0.625	  10.317	   0.408
41	   0.625	  10.567	   0.408
42	   0.625	  10.818	   0.408
43	   0.625	  11.069	   0.408
44	   0.625	  11.319	   0.408
45	   0.625	  11.570	   0.408
46	   0.625	  11.821	   0.408
47	   0.625	  12.072	   0.408
48	   0.625	  12.322	   0.408
49	   0.625	  12.573	   0.408
50	   0.625	  12.824	   0.408
51	   0.625	  13.075	   0.408
52	   0.625	  13.325	   0.408
53	   0.625	  13.576	   0.408
54	   0.625	  13.827	   0.408
55	   0.625	  14.077	   0.408
56	   0.625	  14.328	   0.408
57	   0.625	  14.579	   0.408
58	   0.625	  14.830	   0.408
59	   0.625	  15.080	   0.408
60	   0.625	  15.331	   0.408
61	   0.625	  15.582	   0.408
62	   0.625	  15.833	   0.408
63	   0.625	  16.083	   0.408
64	   0.625	  16.334	   0.408
65	   0.625	  16.585	   0.408
66	   0.625	  16.836	   0.411
67	   0.625	  17.095	   0.460
68	   0.625	  17.401	   0.490
0	   0.750	   0.364	   0.325
1	   0.750	   0.591	   0.435
2	   0.750	   0.842	   0.435
3	   0.750	   1.093	   0.435
4	   0.750	   1.343	   0.435
5	   0.750	   1.594	   0.435
6	   0.750	   1.845	   0.435
7	   0.750	   2.095	   0.435
8	   0.750	   2.346	   0.435
9	   0.750	   2.597	   0.435
10	   0.750	   2.848	   0.435
11	   0.750	   3.098	   0.435
12	   0.750	   3.349	   0.435
13	   0.750	   3.600	   0.435
14	   0.750	   3.851	   0.435
15	   0.750	   4.101	   0.435
16	   0.750	   4.352	   0.435
17	   0.750	   4.603	   0.435
18	   0.750	   4.853	   0.435
19	   0.750	   5.104	   0.435
20	   0.750	   5.355	   0.435
21	   0.750	   5.606	   0.435
22	   0.750	   5.856	   0.435
23	   0.750	   6.107	   0.435
24	   0.750	   6.358	   0.435
25	   0.750	   6.608	   0.435
26	   0.750	   6.859	   0.435
27	   0.750	   7.110	   0.435
28	   0.750	   7.361	   0.435
29	   0.750	   7.611	   0.435
30	   0.750	   7.862	   0.435
31	   0.750	   8.113	   0.435
32	   0.750	   8.364	   0.435
33	   0.750	   8.614	   0.435
34	   0.750	   8.865	   0.435
35	   0.750	   9.116	   0.435
36	   0.750	   9.366	   0.435
37	   0.750	   9.617	   0.435
38	   0.750	   9.868	   0.435
39	   0.750	  10.119	   0.435
40	   0.750	  10.369	   0.435
41	   0.750	  10.620	   0.435
42	   0.750	  10.871	   0.435
43	   0.750	  11.122	   0.435
44	   0.750	  11.372	   0.435
45	   0.750	  11.623	   0.435
46	   0.750	  11.874	   0.435
47	   0.750	  12.124	   0.435
48	   0.750	  12.375	   0.435
49	   0.750	  12.626	   0.435
50	   0.750	  12.877	   0.435
51	   0.750	  13.127	   0.435
52	   0.750	  13.378	   0.435
53	   0.750	  13.629	   0.435
54	   0.750	  13.879	   0.435
55	   0.750	  14.130	   0.435
56	   0.750	  14.381	   0.435
57	   0.750	  14.632	   0.435
58	   0.750	  14.882	   0.435
59	   0.750	  15.133	   0.435
60	   0.750	  15.384	   0.435
61	   0.750	  15.635	   0.435
62	   0.750	  15.885	   0.435
63	   0.750	  16.136	   0.435
64	   0.750	  16.387	   0.435
65	   0.750	  16.637	   0.435
66	   0.750	  16.889	   0.442
67	   0.750	  17.156	   0.505
68	   0.750	  17.462	   0.479
0	   0.875	   0.406	   0.362
1	   0.875	   0.647	   0.454
2	   0.875	   0.897	   0.454
3	   0.875	   1.148	   0.454
4	   0.875	   1.399	   0.454
5	   0.875	   1.650	   0.454
6	   0.875	   1.900	   0.454
7	   0.875	   2.151	   0.454
8	   0.875	   2.402	   0.454
9	   0.875	   2.653	   0.454
10	   0.875	   2.903	   0.454
11	   0.875	   3.154	   0.454
12	   0.875	   3.405	   0.454
13	   0.875	   3.655	   0.454
14	   0.875	   3.906	   0.454
15	   0.875	   4.157	   0.454
16	   0.875	   4.408	   0.454
17	   0.875	   4.658	   0.454
18	   0.875	   4.909	   0.454
19	   0.875	   5.160	   0.454
20	   0.875	   5.410	   0.454
21	   0.875	   5.661	   0.454
22	   0.875	   5.912	   0.454
23	   0.875	   6.163	   0.454
24	   0.875	   6.413	   0.454
25	   0.875	   6.664	   0.454
26	   0.875	   6.915	   0.454
27	   0.875	   7.166	   0.454
28	   0.875	   7.416	   0.454
29	   0.875	   7.667	   0.454
30	   0.875	   7.918	   0.454
31	   0.875	   8.168	   0.454
32	   0.875	   8.419	   0.454
33	   0.875	   8.670	   0.454
34	   0.875	   8.921	   0.454
35	   0.875	   9.171	   0.454
36	   0.875	   9.422	   0.454
37	   0.875	   9.673	   0.454
38	   0.875	   9.924	   0.454
39	   0.875	  10.174	   0.454
40	   0.875	  10.425	   0.454
41	   0.875	  10.676	   0.454
42	   0.875	  10.926	   0.454
43	   0.875	  11.177	   0.454
44	   0.875	  11.428	   0.454
45	   0.875	  11.679	   0.454
46	   0.875	  11.929	   0.454
47	   0.875	  12.180	   0.454
48	   0.875	  12.431	   0.454
49	   0.875	  12.682	   0.454
50	   0.875	  12.932	   0.454
51	   0.875	  13.183	   0.454
52	   0.875	  13.434	   0.454
53	   0.875	  13.684	   0.454
54	   0.875	  13.935	   0.454
55	   0.875	  14.186	   0.454
56	   0.875	  14.437	   0.454
57	   0.875	  14.687	   0.454
58	   0.875	  14.938	   0.454
59	   0.875	  15.189	   0.454
60	   0.875	  15.439	   0.454
61	   0.875	  15.690	   0.454
62	   0.875	  15.941	   0.454
63	   0.875	  16.192	   0.454
64	   0.875	  16.442	   0.454
65	   0.875	  16.693	   0.455
66	   0.875	  16.946	   0.469
67	   0.875	  17.221	   0.536
68	   0.875	  17.520	   0.459
0	   1.000	   0.454	   0.396
1	   1.000	   0.704	   0.468
2	   1.000	   0.955	   0.468
3	   1.000	   1.206	   0.468
4	   1.000	   1.457	   0.468
5	   1.000	   1.707	   0.468
6	   1.000	   1.958	   0.468
7	   1.000	   2.209	   0.468
8	   1.000	   2.460	   0.468
9	   1.000	   2.710	   0.468
10	   1.000	   2.961	   0.468
11	   1.000	   3.212	   0.468
12	   1.000	   3.462	   0.468
13	   1.000	   3.713	   0.468
14	   1.000	   3.964	   0.468
15	   1.000	   4.215	   0.468
16	   1.000	   4.465	   0.468
17	   1.000	   4.716	   0.468
18	   1.000	   4.967	   0.468
19	   1.000	   5.217	   0.468
20	   1.000	   5.468	   0.468
21	   1.000	   5.719	   0.468
22	   1.000	   5.970	   0.468
23	   1.000	   6.220	   0.468
24	   1.000	   6.471	   0.468
25	   1.000	   6.722	   0.468
26	   1.000	   6.973	   0.468
27	   1.000	   7.223	   0.468
28	   1.000	   7.474	   0.468
29	   1.000	   7.725	   0.468
30	   1.000	   7.975	   0.468
31	   1.000	   8.226	   0.468
32	   1.000	   8.477	   0.468
33	   1.000	   8.728	   0.468
34	   1.000	   8.978	   0.468
35	   1.000	   9.229	   0.468
36	   1.000	   9.480	   0.468
37	   1.000	   9.731	   0.468
38	   1.000	   9.981	   0.468
39	   1.000	  10.232	   0.468
40	   1.000	  10.483	   0.468
41	   1.000	  10.733	   0.468
42	   1.000	  10.984	   0.468
43	   1.000	  11.235	   0.468
44	   1.000	  11.486	   0.468
45	   1.000	  11.736	   0.468
46	   1.000	  11.987	   0.468
47	   1.000	  12.238	   0.468
48	   1.000	  12.488	   0.468
49	   1.000	  12.739	   0.468
50	   1.000	  12.990	   0.468
51	   1.000	  13.241	   0.468
52	   1.000	  13.491	   0.468
53	   1.000	  13.742	   0.468
54	   1.000	  13.993	   0.468
55	   1.000	  14.244	   0.468
56	   1.000	  14.494	   0.468
57	   1.000	  14.745	   0.468
58	   1.000	  14.996	   0.468
59	   1.000	  15.246	   0.468
60	   1.000	  15.497	   0.468
61	   1.000	  15.748	   0.468
62	   1.000	  15.999	   0.468
63	   1.000	  16.249	   0.468
64	   1.000	  16.500	   0.468
65	   1.000	  16.751	   0.470
66	   1.000	  17.006	   0.493
67	   1.000	  17.289	   0.555
68	   1.000	  17.576	   0.437
0	   1.125	   0.505	   0.427
1	   1.125	   0.764	   0.478
2	   1.125	   1.014	   0.478
3	   1.125	   1.265	   0.478
4	   1.125	   1.516	   0.478
5	   1.125	   1.767	   0.478
6	   1.125	   2.017	   0.478
7	   1.125	   2.268	   0.478
8	   1.125	   2.519	   0.478
9	   1.125	   2.769	   0.478
10	   1.125	   3.020	   0.478
11	   1.125	   3.271	   0.478
12	   1.125	   3.522	   0.478
13	   1.125	   3.772	   0.478
14	   1.125	   4.023	   0.478
15	   1.125	   4.274	   0.478
16	   1.125	   4.524	   0.478
17	   1.125	   4.775	   0.478
18	   1.125	   5.026	   0.478
19	   1.125	   5.277	   0.478
20	   1.125	   5.527	   0.478
21	   1.125	   5.778	   0.478
22	   1.125	   6.029	   0.478
23	   1.125	   6.280	   0.478
24	   1.125	   6.530	   0.478
25	   1.125	   6.781	   0.478
26	   1.125	   7.032	   0.478
27	   1.125	   7.282	   0.478
28	   1.125	   7.533	   0.478
29	   1.125	   7.784	   0.478
30	   1.125	   8.035	   0.478
31	   1.125	   8.285	   0.478
32	   1.125	   8.536	   0.478
33	   1.125	   8.787	   0.478
34	   1.125	   9.038	   0.478
35	   1.125	   9.288	   0.478
36	   1.125	   9.539	   0.478
37	   1.125	   9.790	   0.478
38	   1.125	  10.040	   0.478
39	   1.125	  10.291	   0.478
40	   1.125	  10.542	   0.478
41	   1.125	  10.793	   0.478
42	   1.125	  11.043	   0.478
43	   1.125	  11.294	   0.478
44	   1.125	  11.545	   0.478
45	   1.125	  11.796	   0.478
46	   1.125	  12.046	   0.478
47	   1.125	  12.297	   0.478
48	   1.125	  12.548	   0.478
49	   1.125	  12.798	   0.478
50	   1.125	  13.049	   0.478
51	   1.125	  13.300	   0.478
52	   1.125	  13.551	   0.478
53	   1.125	  13.801	   0.478
54	   1.125	  14.052	   0.478
55	   1.125	  14.303	   0.478
56	   1.125	  14.553	   0.478
57	   1.125	  14.804	   0.478
58	   1.125	  15.055	   0.478
59	   1.125	  15.306	   0.478
60	   1.125	  15.556	   0.478
61	   1.125	  15.807	   0.478
62	   1.125	  16.058	   0.478
63	   1.125	  16.309	   0.478
64	   1.125	  16.559	   0.479
65	   1.125	  16.810	   0.482
66	   1.125	  17.069	   0.514
67	   1.125	  17.359	   0.561
68	   1.125	  17.630	   0.417
0	   1.250	   0.560	   0.453
1	   1.250	   0.824	   0.486
2	   1.250	   1.075	   0.486
3	   1.250	   1.325	   0.486
4	   1.250	   1.576	   0.486
5	   1.250	   1.827	   0.486
6	   1.250	   2.078	   0.486
7	   1.250	   2.328	   0.486
