# id	 time	 x	 v
0	   0.000	   0.609	   0.000
1	   0.000	   1.526	   0.000
2	   0.000	   2.544	   0.000
3	   0.000	   3.562	   0.000
4	   0.000	   4.579	   0.000
5	   0.000	   5.597	   0.000
6	   0.000	   6.615	   0.000
7	   0.000	   7.632	   0.000
8	   0.000	   8.650	   0.000
9	   0.000	   9.668	   0.000
10	   0.000	  10.685	   0.000
11	   0.000	  11.703	   0.000
12	   0.000	  12.721	   0.000
13	   0.000	  13.738	   0.000
14	   0.000	  14.756	   0.000
15	   0.000	  15.774	   0.000
16	   0.000	  16.791	   0.000
0	   0.125	   0.626	   0.261
1	   0.125	   1.544	   0.265
2	   0.125	   2.561	   0.265
3	   0.125	   3.579	   0.265
4	   0.125	   4.597	   0.265
5	   0.125	   5.614	   0.265
6	   0.125	   6.632	   0.265
7	   0.125	   7.650	   0.265
8	   0.125	   8.667	   0.265
9	   0.125	   9.685	   0.265
10	   0.125	  10.702	   0.265
11	   0.125	  11.720	   0.265
12	   0.125	  12.738	   0.265
13	   0.125	  13.755	   0.265
14	   0.125	  14.773	   0.265
15	   0.125	  15.791	   0.265
16	   0.125	  16.808	   0.266
0	   0.250	   0.666	   0.368
1	   0.250	   1.586	   0.393
2	   0.250	   2.604	   0.393
3	   0.250	   3.621	   0.393
4	   0.250	   4.639	   0.393
5	   0.250	   5.657	   0.393
6	   0.250	   6.674	   0.393
7	   0.250	   7.692	   0.393
8	   0.250	   8.710	   0.393
9	   0.250	   9.727	   0.393
10	   0.250	  10.745	   0.393
11	   0.250	  11.763	   0.393
12	   0.250	  12.780	   0.393
13	   0.250	  13.798	   0.393
14	   0.250	  14.815	   0.393
15	   0.250	  15.833	   0.389
16	   0.250	  16.853	   0.419
0	   0.375	   0.716	   0.416
1	   0.375	   1.639	   0.448
2	   0.375	   2.657	   0.448
3	   0.375	   3.674	   0.448
4	   0.375	   4.692	   0.448
5	   0.375	   5.710	   0.448
6	   0.375	   6.727	   0.448
7	   0.375	   7.745	   0.448
8	   0.375	   8.762	   0.448
9	   0.375	   9.780	   0.448
10	   0.375	  10.798	   0.448
11	   0.375	  11.815	   0.448
12	   0.375	  12.833	   0.448
13	   0.375	  13.851	   0.447
14	   0.375	  14.868	   0.449
15	   0.375	  15.885	   0.440
16	   0.375	  16.910	   0.485
0	   0.500	   0.769	   0.442
1	   0.500	   1.697	   0.476
2	   0.500	   2.714	   0.476
3	   0.500	   3.732	   0.476
4	   0.500	   4.750	   0.476
5	   0.500	   5.767	   0.476
6	   0.500	   6.785	   0.476
7	   0.500	   7.803	   0.476
8	   0.500	   8.820	   0.476
9	   0.500	   9.838	   0.476
10	   0.500	  10.856	   0.476
11	   0.500	  11.873	   0.476
12	   0.500	  12.891	   0.476
13	   0.500	  13.909	   0.476
14	   0.500	  14.927	   0.478
15	   0.500	  15.942	   0.467
16	   0.500	  16.973	   0.518
0	   0.625	   0.826	   0.457
1	   0.625	   1.757	   0.492
2	   0.625	   2.775	   0.492
3	   0.625	   3.793	   0.492
4	   0.625	   4.810	   0.492
5	   0.625	   5.828	   0.492
6	   0.625	   6.846	   0.492
7	   0.625	   7.863	   0.492
8	   0.625	   8.881	   0.492
9	   0.625	   9.899	   0.492
10	   0.625	  10.916	   0.492
11	   0.625	  11.934	   0.492
12	   0.625	  12.952	   0.492
13	   0.625	  13.969	   0.492
14	   0.625	  14.987	   0.494
15	   0.625	  16.001	   0.483
16	   0.625	  17.039	   0.535
0	   0.750	   0.883	   0.466
1	   0.750	   1.820	   0.501
2	   0.750	   2.837	   0.501
3	   0.750	   3.855	   0.501
4	   0.750	   4.873	   0.501
5	   0.750	   5.890	   0.501
6	   0.750	   6.908	   0.501
7	   0.750	   7.925	   0.501
8	   0.750	   8.943	   0.501
9	   0.750	   9.961	   0.501
10	   0.750	  10.978	   0.501
11	   0.750	  11.996	   0.501
12	   0.750	  13.014	   0.502
13	   0.750	  14.031	   0.501
14	   0.750	  15.050	   0.503
15	   0.750	  16.062	   0.493
16	   0.750	  17.106	   0.543
0	   0.875	   0.942	   0.472
1	   0.875	   1.883	   0.507
2	   0.875	   2.900	   0.507
3	   0.875	   3.918	   0.507
4	   0.875	   4.936	   0.507
5	   0.875	   5.953	   0.507
6	   0.875	   6.971	   0.507
7	   0.875	   7.989	   0.507
8	   0.875	   9.006	   0.507
9	   0.875	  10.024	   0.507
10	   0.875	  11.041	   0.507
11	   0.875	  12.059	   0.507
12	   0.875	  13.077	   0.507
13	   0.875	  14.094	   0.506
14	   0.875	  15.113	   0.508
15	   0.875	  16.125	   0.500
16	   0.875	  17.174	   0.547
0	   1.000	   1.001	   0.477
1	   1.000	   1.946	   0.510
2	   1.000	   2.964	   0.510
3	   1.000	   3.982	   0.510
4	   1.000	   4.999	   0.510
5	   1.000	   6.017	   0.510
6	   1.000	   7.034	   0.510
7	   1.000	   8.052	   0.510
8	   1.000	   9.070	   0.510
9	   1.000	  10.087	   0.510
10	   1.000	  11.105	   0.510
11	   1.000	  12.123	   0.510
12	   1.000	  13.140	   0.510
13	   1.000	  14.158	   0.510
14	   1.000	  15.177	   0.511
15	   1.000	  16.187	   0.506
16	   1.000	  17.243	   0.547
0	   1.125	   1.061	   0.480
1	   1.125	   2.010	   0.512
2	   1.125	   3.028	   0.512
3	   1.125	   4.045	   0.512
4	   1.125	   5.063	   0.512
5	   1.125	   6.081	   0.512
6	   1.125	   7.098	   0.512
7	   1.125	   8.116	   0.512
8	   1.125	   9.134	   0.512
9	   1.125	  10.151	   0.512
10	   1.125	  11.169	   0.512
11	   1.125	  12.187	   0.512
12	   1.125	  13.204	   0.512
13	   1.125	  14.222	   0.512
14	   1.125	  15.241	   0.512
15	   1.125	  16.251	   0.510
16	   1.125	  17.311	   0.545
0	   1.250	   1.121	   0.482
1	   1.250	   2.074	   0.513
2	   1.250	   3.092	   0.513
3	   1.250	   4.109	   0.513
4	   1.250	   5.127	   0.513
5	   1.250	   6.145	   0.513
6	   1.250	   7.162	   0.513
7	   1.250	   8.180	   0.513
8	   1.250	   9.198	   0.513
9	   1.250	  10.215	   0.513
10	   1.250	  11.233	   0.513
11	   1.250	  12.251	   0.513
12	   1.250	  13.268	   0.513
13	   1.250	  14.286	   0.513
14	   1.250	  15.305	   0.512
15	   1.250	  16.315	   0.514
16	   1.250	  17.379	   0.543
0	   1.375	   1.182	   0.484
1	   1.375	   2.138	   0.513
2	   1.375	   3.156	   0.513
3	   1.375	   4.174	   0.513
4	   1.375	   5.191	   0.513
5	   1.375	   6.209	   0.513
6	   1.375	   7.226	   0.513
7	   1.375	   8.244	   0.513
8	   1.375	   9.262	   0.513
9	   1.375	  10.279	   0.513
10	   1.375	  11.297	   0.513
11	   1.375	  12.315	   0.513
12	   1.375	  13.332	   0.513
13	   1.375	  14.350	   0.514
14	   1.375	  15.369	   0.511
15	   1.375	  16.379	   0.517
16	   1.375	  17.446	   0.540
0	   1.500	   1.242	   0.486
1	   1.500	   2.202	   0.514
2	   1.500	   3.220	   0.514
3	   1.500	   4.238	   0.514
4	   1.500	   5.255	   0.514
5	   1.500	   6.273	   0.514
6	   1.500	   7.291	   0.514
7	   1.500	   8.308	   0.514
8	   1.500	   9.326	   0.514
9	   1.500	  10.344	   0.514
10	   1.500	  11.361	   0.514
11	   1.500	  12.379	   0.514
12	   1.500	  13.397	   0.514
13	   1.500	  14.414	   0.514
14	   1.500	  15.432	   0.511
15	   1.500	  16.444	   0.520
16	   1.500	  17.514	   0.537
0	   1.625	   1.303	   0.488
1	   1.625	   2.267	   0.514
2	   1.625	   3.284	   0.514
3	   1.625	   4.302	   0.514
4	   1.625	   5.320	   0.514
5	   1.625	   6.337	   0.514
6	   1.625	   7.355	   0.514
7	   1.625	   8.373	   0.514
8	   1.625	   9.390	   0.514
9	   1.625	  10.408	   0.514
10	   1.625	  11.425	   0.514
11	   1.625	  12.443	   0.514
12	   1.625	  13.461	   0.514
13	   1.625	  14.478	   0.515
14	   1.625	  15.496	   0.511
15	   1.625	  16.509	   0.523
16	   1.625	  17.581	   0.534
0	   1.750	   1.364	   0.490
1	   1.750	   2.331	   0.514
2	   1.750	   3.349	   0.514
3	   1.750	   4.366	   0.514
4	   1.750	   5.384	   0.514
5	   1.750	   6.401	   0.514
6	   1.750	   7.419	   0.514
7	   1.750	   8.437	   0.514
8	   1.750	   9.454	   0.514
9	   1.750	  10.472	   0.514
10	   1.750	  11.490	   0.514
11	   1.750	  12.507	   0.514
12	   1.750	  13.525	   0.514
13	   1.750	  14.543	   0.515
14	   1.750	  15.560	   0.510
15	   1.750	  16.575	   0.525
16	   1.750	  17.647	   0.531
0	   1.875	   1.426	   0.491
1	   1.875	   2.395	   0.514
2	   1.875	   3.413	   0.514
3	   1.875	   4.430	   0.514
4	   1.875	   5.448	   0.514
5	   1.875	   6.466	   0.514
6	   1.875	   7.483	   0.514
7	   1.875	   8.501	   0.514
8	   1.875	   9.519	   0.514
9	   1.875	  10.536	   0.514
10	   1.875	  11.554	   0.514
11	   1.875	  12.572	   0.514
12	   1.875	  13.589	   0.514
13	   1.875	  14.607	   0.515
14	   1.875	  15.624	   0.510
15	   1.875	  16.640	   0.527
16	   1.875	  17.713	   0.528
0	   2.000	   1.487	   0.492
1	   2.000	   2.459	   0.514
2	   2.000	   3.477	   0.514
3	   2.000	   4.495	   0.514
4	   2.000	   5.512	   0.514
5	   2.000	   6.530	   0.514
6	   2.000	   7.548	   0.514
7	   2.000	   8.565	   0.514
8	   2.000	   9.583	   0.514
9	   2.000	  10.601	   0.514
10	   2.000	  11.618	   0.514
11	   2.000	  12.636	   0.514
12	   2.000	  13.653	   0.514
13	   2.000	  14.672	   0.515
14	   2.000	  15.688	   0.510
15	   2.000	  16.706	   0.529
16	   2.000	  17.779	   0.525
0	   2.125	   1.549	   0.494
1	   2.125	   2.524	   0.514
2	   2.125	   3.541	   0.514
3	   2.125	   4.559	   0.514
4	   2.125	   5.577	   0.514
5	   2.125	   6.594	   0.514
6	   2.125	   7.612	   0.514
7	   2.125	   8.630	   0.514
8	   2.125	   9.647	   0.514
9	   2.125	  10.665	   0.514
10	   2.125	  11.683	   0.514
11	   2.125	  12.700	   0.514
12	   2.125	  13.718	   0.514
13	   2.125	  14.736	   0.515
14	   2.125	  15.751	   0.510
15	   2.125	  16.773	   0.530
16	   2.125	  17.845	   0.522
0	   2.250	   1.611	   0.495
1	   2.250	   2.588	   0.514
2	   2.250	   3.606	   0.514
3	   2.250	   4.623	   0.514
4	   2.250	   5.641	   0.514
5	   2.250	   6.659	   0.514
6	   2.250	   7.676	   0.514
7	   2.250	   8.694	   0.514
8	   2.250	   9.712	   0.514
9	   2.250	  10.729	   0.514
10	   2.250	  11.747	   0.514
11	   2.250	  12.765	   0.514
12	   2.250	  13.782	   0.514
13	   2.250	  14.800	   0.515
14	   2.250	  15.815	   0.510
15	   2.250	  16.839	   0.531
16	   2.250	  17.910	   0.520
0	   2.375	   1.673	   0.496
1	   2.375	   2.652	   0.514
2	   2.375	   3.670	   0.514
3	   2.375	   4.688	   0.514
4	   2.375	   5.705	   0.514
5	   2.375	   6.723	   0.514
6	   2.375	   7.741	   0.514
7	   2.375	   8.758	   0.514
8	   2.375	   9.776	   0.514
9	   2.375	  10.793	   0.514
10	   2.375	  11.811	   0.514
11	   2.375	  12.829	   0.514
12	   2.375	  13.846	   0.514
13	   2.375	  14.865	   0.515
14	   2.375	  15.879	   0.510
15	   2.375	  16.905	   0.532
16	   2.375	  17.975	   0.518
0	   2.500	   1.735	   0.497
1	   2.500	   2.717	   0.514
2	   2.500	   3.734	   0.514
3	   2.500	   4.752	   0.514
4	   2.500	   5.770	   0.514
5	   2.500	   6.787	   0.514
6	   2.500	   7.805	   0.514
7	   2.500	   8.822	   0.514
8	   2.500	   9.840	   0.514
9	   2.500	  10.858	   0.514
10	   2.500	  11.875	   0.514
11	   2.500	  12.893	   0.514
12	   2.500	  13.911	   0.514
13	   2.500	  14.929	   0.515
14	   2.500	  15.943	   0.511
15	   2.500	  16.972	   0.533
16	   2.500	  18.039	   0.516
0	   2.625	   1.797	   0.498
1	   2.625	   2.781	   0.514
2	   2.625	   3.798	   0.514
3	   2.625	   4.816	   0.514
