Number of Agents,Test Agent Velocity,Test Agent Density
70,0.19814052735863436,1.5416808648791063
65,0.2507716049382716,1.5670234514012518
60,0.3085320992049365,1.5837715133436343
55,0.38297245544262776,1.5958215438300556
50,0.430534856764365,1.571573434002641
50,0.430534856764365,1.571573434002641
48,0.4421768707482993,1.5835938737381343
46,0.5251464350636236,1.5560087022583917
44,0.574585635359116,1.6415481217496966
42,-0.06934997732789203,-0.2736209303704459
40,0.16720257234726688,0.8254857971169861
38,0.19658248903674583,0.8305008872911924
36,0.22935779816513763,0.8352794672559667
34,0.26552287581699346,0.8399322617161799
32,0.3076923076923077,0.8438864038126549
30,0.35335689045936397,0.8476578741637866
30,0.35335689045936397,0.8476578741637866
29,0.3855850511641702,0.8574057137786207
28,0.4117181314330958,0.8574726626512246
27,0.4383746417130332,0.8580882641315355
26,0.47324353840553335,0.8587624930371619
25,0.5033881897386254,0.8591716040541415
24,0.5405405405405406,0.8593259459701402
23,0.5749668288367978,0.8587962542693056
22,0.6168446026097272,0.8575535371841908
21,0.6598984771573604,0.8555438364174278
20,0.705371676614216,0.852272627326631
19,0.7547169811320754,0.8475531070101928
18,0.8064516129032258,0.8409811409843959
17,0.8606421714664019,0.8318620758252444
16,0.9339080459770115,0.8307161710761206
15,0.9984639016897082,0.8181173696170664
14,1.0551948051948052,0.7961984687114427
13,1.1082693947144076,0.767434827699606
12,1.1550422034651264,0.7312149815658593
11,1.1943040881947635,0.6877755631778847
10,1.2258368694012258,0.6380884531164299
9,1.2506012506012507,0.5834387863153783
8,1.2701514411333659,0.5250451280858337
7,1.3402061855670102,0.47931490116506426
6,1.3395157135497167,0.4108615384615343
5,1.3395157135497167,0.34238461538461196
4,1.3395157135497167,0.2739076923076897
3,1.3395157135497167,0.20543076923076714
2,1.3395157135497167,0.13695384615384484
