Number of Agents,Test Agent Velocity,Test Agent Density
2,1.3395157135497167,0.13695374925981463
3,1.3395157135497167,0.2054306723367375
4,1.3395157135497167,0.2739075954136604
5,1.3395157135497167,0.3423844528964948
6,1.3395157135497167,0.4108612893834449
7,1.3395157135497167,0.4792875923618518
8,1.3191273465246067,0.5398439421821952
9,1.310483870967742,0.6045536755253954
10,1.294176207068193,0.6675944285733117
11,1.279527559055118,0.7279350664173658
12,1.2652068126520681,0.7840023499890182
13,1.2333965844402277,0.8330731201661455
14,1.1893870082342177,0.8722103286250789
15,1.132404181184669,0.9001657210265885
16,1.0616578195181705,0.914177611182183
17,0.9969325153374232,0.9265488719631085
18,0.935251798561151,0.9290696682055357
19,0.8632138114209827,0.9237856323708546
20,0.7912355447352404,0.9202694728760688
21,0.7338413773638159,0.9167725145008019
22,0.6902044066896734,0.9134121572324245
23,0.6380368098159509,0.9101845257143661
24,0.5828289621161175,0.9068222816928713
25,0.5413283364563815,0.9035479102152888
26,0.507416081186573,0.9008163361914865
27,0.4788213627992633,0.8976150879834118
28,0.4450530640191715,0.8941818977826653
29,0.41546820070310003,0.8906681734557398
30,0.3875968992248062,0.8873860393635625
