N_ped	Mean vx	Mean vy
1	1.4965	0.0000
2	1.4965	0.0000
3	1.4965	0.0000
4	1.4965	0.0000
5	1.4965	0.0000
6	1.4965	0.0000
7	1.4965	0.0000
8	1.4965	0.0000
9	1.4965	0.0000
10	1.4965	0.0000
11	1.4965	0.0000
12	1.4965	0.0000
13	1.4965	0.0000
14	1.4965	0.0000
15	1.4965	0.0000
16	1.4965	0.0000
17	1.4965	0.0000
18	1.4965	0.0000
19	1.4965	0.0000
20	1.4965	0.0000
21	1.4965	0.0000
22	1.4965	0.0000
23	1.4965	0.0000
24	1.4965	0.0000
25	1.4965	0.0000
26	1.4965	0.0000
27	1.4965	0.0000
28	1.4965	0.0000
29	1.4965	0.0000
30	1.4965	0.0000
31	1.4965	0.0000
32	1.4965	0.0000
33	1.4965	0.0000
34	1.4965	0.0000
35	1.4965	0.0000
36	1.4965	0.0000
37	1.4965	0.0000
38	1.4965	0.0000
39	1.4965	0.0000
40	1.4965	0.0000
41	1.4965	0.0000
42	1.4965	0.0000
43	1.4965	0.0000
44	1.4965	0.0000
45	1.4965	0.0000
46	1.4965	0.0000
47	1.4964	0.0000
48	1.4963	0.0000
49	1.4962	0.0000
50	1.4960	0.0000
51	1.4956	0.0000
52	1.4950	0.0000
53	1.4942	0.0000
54	1.4929	0.0000
55	1.4910	0.0000
56	1.4883	0.0000
57	1.4843	0.0000
58	1.4787	0.0000
59	1.4709	0.0000
60	1.4600	0.0000
61	1.4451	0.0000
62	1.4250	0.0000
63	1.3980	0.0000
64	1.3622	0.0000
65	1.3152	0.0000
66	1.2538	0.0000
67	1.1746	0.0000
68	1.0729	0.0000
69	0.9436	0.0000
70	0.7803	0.0000
71	0.5755	0.0000
72	0.3203	0.0000
73	0.0938	0.0000
74	0.0269	0.0000
75	0.0186	0.0000
76	0.0322	0.0000
77	0.0333	0.0000
78	0.0601	0.0000
79	-17677.1678	0.0000
80	7669.5061	0.0000
81	-3429.2196	0.0000
82	15596.6763	0.0000
83	28227.6895	0.0000
84	-17561.6812	0.0000
85	-2453.0613	0.0000
86	16335.7350	0.0000
87	-20420.2927	0.0000
88	42247.0979	0.0000
89	-19099.3660	0.0000
90	34722.7000	0.0000
91	14674.2381	0.0000
92	14311.0582	0.0000
93	35250.2553	0.0000
94	11135.7917	0.0000
95	-6231.4739	0.0000
96	-28059.0547	0.0000
97	-45654.9859	0.0000
98	-8680.5225	0.0000
99	-8127.3204	0.0000
