# id	 time	 x	 v
0	   0.000	   0.609	   0.000
1	   0.000	   1.526	   0.000
2	   0.000	   2.544	   0.000
3	   0.000	   3.562	   0.000
4	   0.000	   4.579	   0.000
5	   0.000	   5.597	   0.000
6	   0.000	   6.615	   0.000
7	   0.000	   7.632	   0.000
8	   0.000	   8.650	   0.000
9	   0.000	   9.668	   0.000
10	   0.000	  10.685	   0.000
11	   0.000	  11.703	   0.000
12	   0.000	  12.721	   0.000
13	   0.000	  13.738	   0.000
14	   0.000	  14.756	   0.000
15	   0.000	  15.774	   0.000
16	   0.000	  16.791	   0.000
0	   0.125	   0.616	   0.118
1	   0.125	   1.534	   0.118
2	   0.125	   2.552	   0.118
3	   0.125	   3.569	   0.118
4	   0.125	   4.587	   0.118
5	   0.125	   5.605	   0.118
6	   0.125	   6.622	   0.118
7	   0.125	   7.640	   0.118
8	   0.125	   8.657	   0.118
9	   0.125	   9.675	   0.118
10	   0.125	  10.693	   0.118
11	   0.125	  11.710	   0.118
12	   0.125	  12.728	   0.118
13	   0.125	  13.746	   0.118
14	   0.125	  14.763	   0.118
15	   0.125	  15.781	   0.118
16	   0.125	  16.799	   0.118
0	   0.250	   0.638	   0.221
1	   0.250	   1.555	   0.221
2	   0.250	   2.573	   0.221
3	   0.250	   3.590	   0.221
4	   0.250	   4.608	   0.221
5	   0.250	   5.626	   0.221
6	   0.250	   6.643	   0.221
7	   0.250	   7.661	   0.221
8	   0.250	   8.679	   0.221
9	   0.250	   9.696	   0.221
10	   0.250	  10.714	   0.221
11	   0.250	  11.732	   0.221
12	   0.250	  12.749	   0.221
13	   0.250	  13.767	   0.221
14	   0.250	  14.785	   0.221
15	   0.250	  15.802	   0.221
16	   0.250	  16.820	   0.221
0	   0.375	   0.670	   0.291
1	   0.375	   1.588	   0.304
2	   0.375	   2.606	   0.304
3	   0.375	   3.624	   0.304
4	   0.375	   4.641	   0.304
5	   0.375	   5.659	   0.304
6	   0.375	   6.677	   0.304
7	   0.375	   7.694	   0.304
8	   0.375	   8.712	   0.304
9	   0.375	   9.730	   0.304
10	   0.375	  10.747	   0.304
11	   0.375	  11.765	   0.304
12	   0.375	  12.782	   0.304
13	   0.375	  13.800	   0.304
14	   0.375	  14.818	   0.304
15	   0.375	  15.835	   0.304
16	   0.375	  16.853	   0.312
0	   0.500	   0.709	   0.335
1	   0.500	   1.630	   0.356
2	   0.500	   2.648	   0.356
3	   0.500	   3.665	   0.356
4	   0.500	   4.683	   0.356
5	   0.500	   5.700	   0.356
6	   0.500	   6.718	   0.356
7	   0.500	   7.736	   0.356
8	   0.500	   8.753	   0.356
9	   0.500	   9.771	   0.356
10	   0.500	  10.789	   0.356
11	   0.500	  11.806	   0.356
12	   0.500	  12.824	   0.356
13	   0.500	  13.842	   0.356
14	   0.500	  14.859	   0.357
15	   0.500	  15.877	   0.354
16	   0.500	  16.897	   0.377
0	   0.625	   0.753	   0.365
1	   0.625	   1.677	   0.392
2	   0.625	   2.694	   0.392
3	   0.625	   3.712	   0.392
4	   0.625	   4.730	   0.392
5	   0.625	   5.747	   0.392
6	   0.625	   6.765	   0.392
7	   0.625	   7.783	   0.392
8	   0.625	   8.800	   0.392
9	   0.625	   9.818	   0.392
10	   0.625	  10.836	   0.392
11	   0.625	  11.853	   0.392
12	   0.625	  12.871	   0.392
13	   0.625	  13.889	   0.392
14	   0.625	  14.906	   0.392
15	   0.625	  15.923	   0.388
16	   0.625	  16.947	   0.420
0	   0.750	   0.800	   0.387
1	   0.750	   1.727	   0.417
2	   0.750	   2.745	   0.417
3	   0.750	   3.763	   0.417
4	   0.750	   4.780	   0.417
5	   0.750	   5.798	   0.417
6	   0.750	   6.816	   0.417
7	   0.750	   7.833	   0.417
8	   0.750	   8.851	   0.417
9	   0.750	   9.869	   0.417
10	   0.750	  10.886	   0.417
11	   0.750	  11.904	   0.417
12	   0.750	  12.922	   0.417
13	   0.750	  13.939	   0.417
14	   0.750	  14.957	   0.418
15	   0.750	  15.973	   0.412
16	   0.750	  17.001	   0.450
0	   0.875	   0.850	   0.404
1	   0.875	   1.781	   0.436
2	   0.875	   2.798	   0.436
3	   0.875	   3.816	   0.436
4	   0.875	   4.834	   0.436
5	   0.875	   5.851	   0.436
6	   0.875	   6.869	   0.436
7	   0.875	   7.887	   0.436
8	   0.875	   8.904	   0.436
9	   0.875	   9.922	   0.436
10	   0.875	  10.940	   0.436
11	   0.875	  11.957	   0.436
12	   0.875	  12.975	   0.436
13	   0.875	  13.992	   0.436
14	   0.875	  15.010	   0.436
15	   0.875	  16.026	   0.430
16	   0.875	  17.059	   0.472
0	   1.000	   0.901	   0.417
1	   1.000	   1.836	   0.450
2	   1.000	   2.854	   0.450
3	   1.000	   3.871	   0.450
4	   1.000	   4.889	   0.450
5	   1.000	   5.907	   0.450
6	   1.000	   6.924	   0.450
7	   1.000	   7.942	   0.450
8	   1.000	   8.960	   0.450
9	   1.000	   9.977	   0.450
10	   1.000	  10.995	   0.450
11	   1.000	  12.013	   0.450
12	   1.000	  13.030	   0.450
13	   1.000	  14.048	   0.450
14	   1.000	  15.066	   0.450
15	   1.000	  16.081	   0.444
16	   1.000	  17.119	   0.487
0	   1.125	   0.954	   0.427
1	   1.125	   1.893	   0.460
2	   1.125	   2.911	   0.460
3	   1.125	   3.928	   0.460
4	   1.125	   4.946	   0.460
5	   1.125	   5.964	   0.460
6	   1.125	   6.981	   0.460
7	   1.125	   7.999	   0.460
8	   1.125	   9.017	   0.460
9	   1.125	  10.034	   0.460
10	   1.125	  11.052	   0.460
11	   1.125	  12.069	   0.460
12	   1.125	  13.087	   0.460
13	   1.125	  14.105	   0.460
14	   1.125	  15.123	   0.461
15	   1.125	  16.137	   0.455
16	   1.125	  17.181	   0.498
0	   1.250	   1.008	   0.435
1	   1.250	   1.951	   0.468
2	   1.250	   2.969	   0.468
3	   1.250	   3.986	   0.468
4	   1.250	   5.004	   0.468
5	   1.250	   6.022	   0.468
6	   1.250	   7.039	   0.468
7	   1.250	   8.057	   0.468
8	   1.250	   9.075	   0.468
9	   1.250	  10.092	   0.468
10	   1.250	  11.110	   0.468
11	   1.250	  12.128	   0.468
12	   1.250	  13.145	   0.468
13	   1.250	  14.163	   0.468
14	   1.250	  15.181	   0.469
15	   1.250	  16.194	   0.464
16	   1.250	  17.243	   0.505
0	   1.375	   1.062	   0.441
1	   1.375	   2.010	   0.474
2	   1.375	   3.028	   0.474
3	   1.375	   4.045	   0.474
4	   1.375	   5.063	   0.474
5	   1.375	   6.081	   0.474
6	   1.375	   7.098	   0.474
7	   1.375	   8.116	   0.474
8	   1.375	   9.133	   0.474
9	   1.375	  10.151	   0.474
10	   1.375	  11.169	   0.474
11	   1.375	  12.186	   0.474
12	   1.375	  13.204	   0.474
13	   1.375	  14.222	   0.474
14	   1.375	  15.240	   0.475
15	   1.375	  16.253	   0.471
16	   1.375	  17.307	   0.510
0	   1.500	   1.118	   0.447
1	   1.500	   2.070	   0.479
2	   1.500	   3.087	   0.479
3	   1.500	   4.105	   0.479
4	   1.500	   5.123	   0.479
5	   1.500	   6.140	   0.479
6	   1.500	   7.158	   0.479
7	   1.500	   8.175	   0.479
8	   1.500	   9.193	   0.479
9	   1.500	  10.211	   0.479
10	   1.500	  11.228	   0.479
11	   1.500	  12.246	   0.479
12	   1.500	  13.264	   0.479
13	   1.500	  14.281	   0.479
14	   1.500	  15.300	   0.479
15	   1.500	  16.312	   0.477
16	   1.500	  17.371	   0.513
0	   1.625	   1.174	   0.451
1	   1.625	   2.130	   0.483
2	   1.625	   3.147	   0.483
3	   1.625	   4.165	   0.483
4	   1.625	   5.183	   0.483
5	   1.625	   6.200	   0.483
6	   1.625	   7.218	   0.483
7	   1.625	   8.236	   0.483
8	   1.625	   9.253	   0.483
9	   1.625	  10.271	   0.483
10	   1.625	  11.288	   0.483
11	   1.625	  12.306	   0.483
12	   1.625	  13.324	   0.483
13	   1.625	  14.341	   0.483
14	   1.625	  15.360	   0.483
15	   1.625	  16.372	   0.482
16	   1.625	  17.435	   0.515
0	   1.750	   1.231	   0.455
1	   1.750	   2.190	   0.485
2	   1.750	   3.208	   0.485
3	   1.750	   4.225	   0.485
4	   1.750	   5.243	   0.485
5	   1.750	   6.261	   0.485
6	   1.750	   7.278	   0.485
7	   1.750	   8.296	   0.485
8	   1.750	   9.314	   0.485
9	   1.750	  10.331	   0.485
10	   1.750	  11.349	   0.485
11	   1.750	  12.367	   0.485
12	   1.750	  13.384	   0.485
13	   1.750	  14.402	   0.486
14	   1.750	  15.420	   0.485
15	   1.750	  16.432	   0.487
16	   1.750	  17.499	   0.515
0	   1.875	   1.288	   0.458
1	   1.875	   2.251	   0.488
2	   1.875	   3.269	   0.488
3	   1.875	   4.286	   0.488
4	   1.875	   5.304	   0.488
5	   1.875	   6.322	   0.488
6	   1.875	   7.339	   0.488
7	   1.875	   8.357	   0.488
8	   1.875	   9.375	   0.488
9	   1.875	  10.392	   0.488
10	   1.875	  11.410	   0.488
11	   1.875	  12.427	   0.488
12	   1.875	  13.445	   0.488
13	   1.875	  14.463	   0.488
14	   1.875	  15.481	   0.487
15	   1.875	  16.494	   0.491
16	   1.875	  17.564	   0.515
0	   2.000	   1.345	   0.461
1	   2.000	   2.312	   0.489
2	   2.000	   3.330	   0.489
3	   2.000	   4.347	   0.489
4	   2.000	   5.365	   0.489
5	   2.000	   6.383	   0.489
6	   2.000	   7.400	   0.489
7	   2.000	   8.418	   0.489
8	   2.000	   9.436	   0.489
9	   2.000	  10.453	   0.489
10	   2.000	  11.471	   0.489
11	   2.000	  12.489	   0.489
12	   2.000	  13.506	   0.489
13	   2.000	  14.524	   0.490
14	   2.000	  15.542	   0.488
15	   2.000	  16.555	   0.494
16	   2.000	  17.628	   0.514
0	   2.125	   1.403	   0.464
1	   2.125	   2.373	   0.491
2	   2.125	   3.391	   0.491
3	   2.125	   4.409	   0.491
4	   2.125	   5.426	   0.491
5	   2.125	   6.444	   0.491
6	   2.125	   7.462	   0.491
7	   2.125	   8.479	   0.491
8	   2.125	   9.497	   0.491
9	   2.125	  10.514	   0.491
10	   2.125	  11.532	   0.491
11	   2.125	  12.550	   0.491
12	   2.125	  13.567	   0.491
13	   2.125	  14.585	   0.491
14	   2.125	  15.603	   0.489
15	   2.125	  16.617	   0.497
16	   2.125	  17.692	   0.512
0	   2.250	   1.461	   0.466
1	   2.250	   2.435	   0.492
2	   2.250	   3.452	   0.492
3	   2.250	   4.470	   0.492
4	   2.250	   5.488	   0.492
5	   2.250	   6.505	   0.492
6	   2.250	   7.523	   0.492
7	   2.250	   8.541	   0.492
8	   2.250	   9.558	   0.492
9	   2.250	  10.576	   0.492
10	   2.250	  11.594	   0.492
11	   2.250	  12.611	   0.492
12	   2.250	  13.629	   0.492
13	   2.250	  14.647	   0.492
14	   2.250	  15.664	   0.490
15	   2.250	  16.679	   0.500
16	   2.250	  17.756	   0.510
0	   2.375	   1.519	   0.468
1	   2.375	   2.496	   0.492
2	   2.375	   3.514	   0.492
3	   2.375	   4.532	   0.492
4	   2.375	   5.549	   0.492
5	   2.375	   6.567	   0.492
6	   2.375	   7.584	   0.492
7	   2.375	   8.602	   0.492
8	   2.375	   9.620	   0.492
9	   2.375	  10.637	   0.492
10	   2.375	  11.655	   0.492
11	   2.375	  12.673	   0.492
12	   2.375	  13.690	   0.492
13	   2.375	  14.708	   0.493
14	   2.375	  15.725	   0.490
15	   2.375	  16.742	   0.503
16	   2.375	  17.820	   0.508
0	   2.500	   1.578	   0.470
1	   2.500	   2.558	   0.493
2	   2.500	   3.575	   0.493
3	   2.500	   4.593	   0.493
4	   2.500	   5.611	   0.493
5	   2.500	   6.628	   0.493
6	   2.500	   7.646	   0.493
7	   2.500	   8.664	   0.493
8	   2.500	   9.681	   0.493
9	   2.500	  10.699	   0.493
10	   2.500	  11.717	   0.493
11	   2.500	  12.734	   0.493
12	   2.500	  13.752	   0.493
13	   2.500	  14.770	   0.493
14	   2.500	  15.787	   0.490
15	   2.500	  16.805	   0.505
16	   2.500	  17.883	   0.506
0	   2.625	   1.637	   0.472
1	   2.625	   2.619	   0.493
2	   2.625	   3.637	   0.493
3	   2.625	   4.655	   0.493
