# id	 time	 x	 y	 vx	 vy
0	  0.000	  1.087	  1.000	  0.010	  0.010
1	  0.000	  3.261	  1.000	  0.010	  0.010
2	  0.000	  5.435	  1.000	  0.010	  0.010
3	  0.000	  7.609	  1.000	  0.010	  0.010
4	  0.000	  9.783	  1.000	  0.010	  0.010
5	  0.000	 11.957	  1.000	  0.010	  0.010
6	  0.000	 14.130	  1.000	  0.010	  0.010
7	  0.000	 16.304	  1.000	  0.010	  0.010
8	  0.000	 18.478	  1.000	  0.010	  0.010
9	  0.000	 20.652	  1.000	  0.010	  0.010
10	  0.000	 22.826	  1.000	  0.010	  0.010
11	  0.000	 25.000	  1.000	  0.010	  0.010
12	  0.000	 27.174	  1.000	  0.010	  0.010
13	  0.000	 29.348	  1.000	  0.010	  0.010
14	  0.000	 31.522	  1.000	  0.010	  0.010
15	  0.000	 33.696	  1.000	  0.010	  0.010
16	  0.000	 35.870	  1.000	  0.010	  0.010
17	  0.000	 38.043	  1.000	  0.010	  0.010
18	  0.000	 40.217	  1.000	  0.010	  0.010
19	  0.000	 42.391	  1.000	  0.010	  0.010
20	  0.000	 44.565	  1.000	  0.010	  0.010
21	  0.000	 46.739	  1.000	  0.010	  0.010
22	  0.000	 48.913	  1.000	  0.010	  0.010
23	  0.000	 51.087	  1.000	  0.010	  0.010
24	  0.000	 53.261	  1.000	  0.010	  0.010
25	  0.000	 55.435	  1.000	  0.010	  0.010
26	  0.000	 57.609	  1.000	  0.010	  0.010
27	  0.000	 59.783	  1.000	  0.010	  0.010
28	  0.000	 61.957	  1.000	  0.010	  0.010
29	  0.000	 64.130	  1.000	  0.010	  0.010
30	  0.000	 66.304	  1.000	  0.010	  0.010
31	  0.000	 68.478	  1.000	  0.010	  0.010
32	  0.000	 70.652	  1.000	  0.010	  0.010
33	  0.000	 72.826	  1.000	  0.010	  0.010
34	  0.000	 75.000	  1.000	  0.010	  0.010
35	  0.000	 77.174	  1.000	  0.010	  0.010
36	  0.000	 79.348	  1.000	  0.010	  0.010
37	  0.000	 81.522	  1.000	  0.010	  0.010
38	  0.000	 83.696	  1.000	  0.010	  0.010
39	  0.000	 85.870	  1.000	  0.010	  0.010
40	  0.000	 88.043	  1.000	  0.010	  0.010
41	  0.000	 90.217	  1.000	  0.010	  0.010
42	  0.000	 92.391	  1.000	  0.010	  0.010
43	  0.000	 94.565	  1.000	  0.010	  0.010
44	  0.000	 96.739	  1.000	  0.010	  0.010
45	  0.000	 98.913	  1.000	  0.010	  0.010
0	  0.120	  1.107	  1.001	  0.331	  0.008
1	  0.120	  3.280	  1.001	  0.331	  0.008
2	  0.120	  5.454	  1.001	  0.331	  0.008
3	  0.120	  7.628	  1.001	  0.331	  0.008
4	  0.120	  9.802	  1.001	  0.331	  0.008
5	  0.120	 11.976	  1.001	  0.331	  0.008
6	  0.120	 14.150	  1.001	  0.331	  0.008
7	  0.120	 16.324	  1.001	  0.331	  0.008
8	  0.120	 18.498	  1.001	  0.331	  0.008
9	  0.120	 20.672	  1.001	  0.331	  0.008
10	  0.120	 22.846	  1.001	  0.331	  0.008
11	  0.120	 25.020	  1.001	  0.331	  0.008
12	  0.120	 27.194	  1.001	  0.331	  0.008
