# id	 time	 x	 y	 vx	 vy
0	  0.000	  2.500	  1.000	  0.000	  0.000
1	  0.000	  7.500	  1.000	  0.000	  0.000
2	  0.000	 12.500	  1.000	  0.000	  0.000
3	  0.000	 17.500	  1.000	  0.000	  0.000
4	  0.000	 22.500	  1.000	  0.000	  0.000
5	  0.000	 27.500	  1.000	  0.000	  0.000
6	  0.000	 32.500	  1.000	  0.000	  0.000
7	  0.000	 37.500	  1.000	  0.000	  0.000
8	  0.000	 42.500	  1.000	  0.000	  0.000
9	  0.000	 47.500	  1.000	  0.000	  0.000
10	  0.000	  2.500	  3.000	  0.000	  0.000
11	  0.000	  7.500	  3.000	  0.000	  0.000
12	  0.000	 12.500	  3.000	  0.000	  0.000
13	  0.000	 17.500	  3.000	  0.000	  0.000
14	  0.000	 22.500	  3.000	  0.000	  0.000
15	  0.000	 27.500	  3.000	  0.000	  0.000
16	  0.000	 32.500	  3.000	  0.000	  0.000
17	  0.000	 37.500	  3.000	  0.000	  0.000
18	  0.000	 42.500	  3.000	  0.000	  0.000
19	  0.000	 47.500	  3.000	  0.000	  0.000
20	  0.000	  2.500	  5.000	  0.000	  0.000
21	  0.000	  7.500	  5.000	  0.000	  0.000
22	  0.000	 12.500	  5.000	  0.000	  0.000
23	  0.000	 17.500	  5.000	  0.000	  0.000
24	  0.000	 22.500	  5.000	  0.000	  0.000
25	  0.000	 27.500	  5.000	  0.000	  0.000
26	  0.000	 32.500	  5.000	  0.000	  0.000
27	  0.000	 37.500	  5.000	  0.000	  0.000
28	  0.000	 42.500	  5.000	  0.000	  0.000
29	  0.000	 47.500	  5.000	  0.000	  0.000
30	  0.000	  2.500	  7.000	  0.000	  0.000
31	  0.000	  7.500	  7.000	  0.000	  0.000
32	  0.000	 12.500	  7.000	  0.000	  0.000
33	  0.000	 17.500	  7.000	  0.000	  0.000
34	  0.000	 22.500	  7.000	  0.000	  0.000
35	  0.000	 27.500	  7.000	  0.000	  0.000
36	  0.000	 32.500	  7.000	  0.000	  0.000
37	  0.000	 37.500	  7.000	  0.000	  0.000
38	  0.000	 42.500	  7.000	  0.000	  0.000
39	  0.000	 47.500	  7.000	  0.000	  0.000
40	  0.000	  2.500	  9.000	  0.000	  0.000
41	  0.000	  7.500	  9.000	  0.000	  0.000
42	  0.000	 12.500	  9.000	  0.000	  0.000
43	  0.000	 17.500	  9.000	  0.000	  0.000
44	  0.000	 22.500	  9.000	  0.000	  0.000
45	  0.000	 27.500	  9.000	  0.000	  0.000
46	  0.000	 32.500	  9.000	  0.000	  0.000
47	  0.000	 37.500	  9.000	  0.000	  0.000
48	  0.000	 42.500	  9.000	  0.000	  0.000
49	  0.000	 47.500	  9.000	  0.000	  0.000
0	  0.120	  2.519	  1.001	  0.322	  0.017
1	  0.120	  7.519	  1.001	  0.322	  0.019
2	  0.120	 12.518	  1.001	  0.322	  0.021
3	  0.120	 17.518	  1.001	  0.322	  0.025
4	  0.120	 22.518	  1.002	  0.322	  0.029
5	  0.120	 27.518	  1.002	  0.321	  0.036
6	  0.120	 32.518	  1.003	  0.320	  0.046
7	  0.120	 37.518	  1.004	  0.317	  0.063
8	  0.120	 42.518	  1.006	  0.306	  0.102
9	  0.120	 47.513	  1.013	  0.228	  0.228
10	  0.120	  2.519	  3.000	  0.323	  0.003
11	  0.120	  7.519	  3.000	  0.323	  0.004
12	  0.120	 12.519	  3.000	  0.323	  0.004
13	  0.120	 17.519	  3.000	  0.323	  0.005
14	  0.120	 22.519	  3.000	  0.323	  0.006
15	  0.120	 27.519	  3.000	  0.323	  0.007
16	  0.120	 32.519	  3.001	  0.323	  0.009
17	  0.120	 37.519	  3.001	  0.323	  0.013
18	  0.120	 42.518	  3.001	  0.322	  0.021
19	  0.120	 47.518	  3.004	  0.317	  0.063
20	  0.120	  2.519	  5.000	  0.323	 -0.000
21	  0.120	  7.519	  5.000	  0.323	  0.000
22	  0.120	 12.519	  5.000	  0.323	 -0.000
23	  0.120	 17.519	  5.000	  0.323	  0.000
24	  0.120	 22.519	  5.000	  0.323	  0.000
25	  0.120	 27.519	  5.000	  0.323	 -0.000
26	  0.120	 32.519	  5.000	  0.323	  0.000
27	  0.120	 37.519	  5.000	  0.323	 -0.000
28	  0.120	 42.519	  5.000	  0.323	  0.000
29	  0.120	 47.519	  5.000	  0.323	  0.000
30	  0.120	  2.519	  7.000	  0.323	 -0.003
31	  0.120	  7.519	  7.000	  0.323	 -0.004
32	  0.120	 12.519	  7.000	  0.323	 -0.004
33	  0.120	 17.519	  7.000	  0.323	 -0.005
34	  0.120	 22.519	  7.000	  0.323	 -0.006
35	  0.120	 27.519	  7.000	  0.323	 -0.007
36	  0.120	 32.519	  6.999	  0.323	 -0.009
37	  0.120	 37.519	  6.999	  0.323	 -0.013
38	  0.120	 42.518	  6.999	  0.322	 -0.021
39	  0.120	 47.518	  6.996	  0.317	 -0.063
40	  0.120	  2.519	  8.999	  0.322	 -0.017
41	  0.120	  7.519	  8.999	  0.322	 -0.019
42	  0.120	 12.518	  8.999	  0.322	 -0.021
43	  0.120	 17.518	  8.999	  0.322	 -0.025
44	  0.120	 22.518	  8.998	  0.322	 -0.029
45	  0.120	 27.518	  8.998	  0.321	 -0.036
46	  0.120	 32.518	  8.997	  0.320	 -0.046
47	  0.120	 37.518	  8.996	  0.317	 -0.063
48	  0.120	 42.518	  8.994	  0.306	 -0.102
49	  0.120	 47.513	  8.987	  0.228	 -0.228
0	  0.240	  2.572	  1.004	  0.576	  0.030
1	  0.240	  7.572	  1.004	  0.575	  0.034
2	  0.240	 12.572	  1.005	  0.575	  0.038
3	  0.240	 17.572	  1.006	  0.575	  0.044
4	  0.240	 22.572	  1.007	  0.574	  0.052
5	  0.240	 27.571	  1.008	  0.573	  0.064
6	  0.240	 32.571	  1.010	  0.571	  0.081
7	  0.240	 37.570	  1.014	  0.565	  0.113
8	  0.240	 42.568	  1.023	  0.547	  0.182
9	  0.240	 47.551	  1.051	  0.408	  0.408
10	  0.240	  2.572	  3.001	  0.576	  0.006
11	  0.240	  7.572	  3.001	  0.576	  0.007
12	  0.240	 12.572	  3.001	  0.576	  0.008
13	  0.240	 17.572	  3.001	  0.576	  0.009
14	  0.240	 22.572	  3.001	  0.576	  0.010
15	  0.240	 27.572	  3.002	  0.576	  0.013
16	  0.240	 32.572	  3.002	  0.576	  0.016
17	  0.240	 37.572	  3.003	  0.576	  0.023
18	  0.240	 42.572	  3.005	  0.575	  0.038
19	  0.240	 47.570	  3.014	  0.565	  0.113
20	  0.240	  2.572	  5.000	  0.576	 -0.000
21	  0.240	  7.572	  5.000	  0.576	  0.000
22	  0.240	 12.572	  5.000	  0.576	 -0.000
23	  0.240	 17.572	  5.000	  0.576	  0.000
24	  0.240	 22.572	  5.000	  0.576	  0.000
25	  0.240	 27.572	  5.000	  0.576	  0.000
26	  0.240	 32.572	  5.000	  0.576	  0.000
27	  0.240	 37.572	  5.000	  0.576	 -0.000
28	  0.240	 42.572	  5.000	  0.576	 -0.000
29	  0.240	 47.572	  5.000	  0.576	  0.000
30	  0.240	  2.572	  6.999	  0.576	 -0.006
31	  0.240	  7.572	  6.999	  0.576	 -0.007
32	  0.240	 12.572	  6.999	  0.576	 -0.008
33	  0.240	 17.572	  6.999	  0.576	 -0.009
34	  0.240	 22.572	  6.999	  0.576	 -0.010
35	  0.240	 27.572	  6.998	  0.576	 -0.013
36	  0.240	 32.572	  6.998	  0.576	 -0.016
37	  0.240	 37.572	  6.997	  0.576	 -0.023
38	  0.240	 42.572	  6.995	  0.575	 -0.038
39	  0.240	 47.570	  6.986	  0.565	 -0.113
40	  0.240	  2.572	  8.996	  0.576	 -0.030
41	  0.240	  7.572	  8.996	  0.575	 -0.034
42	  0.240	 12.572	  8.995	  0.575	 -0.038
43	  0.240	 17.572	  8.994	  0.575	 -0.044
44	  0.240	 22.572	  8.993	  0.574	 -0.052
45	  0.240	 27.571	  8.992	  0.573	 -0.064
46	  0.240	 32.571	  8.990	  0.571	 -0.081
47	  0.240	 37.570	  8.986	  0.565	 -0.113
48	  0.240	 42.568	  8.977	  0.547	 -0.182
49	  0.240	 47.551	  8.949	  0.408	 -0.408
0	  0.360	  2.652	  1.008	  0.774	  0.041
1	  0.360	  7.652	  1.009	  0.774	  0.045
2	  0.360	 12.652	  1.010	  0.773	  0.052
3	  0.360	 17.652	  1.012	  0.773	  0.059
4	  0.360	 22.652	  1.014	  0.772	  0.070
5	  0.360	 27.651	  1.017	  0.770	  0.086
6	  0.360	 32.651	  1.022	  0.767	  0.110
7	  0.360	 37.649	  1.030	  0.760	  0.152
8	  0.360	 42.645	  1.048	  0.735	  0.245
9	  0.360	 47.608	  1.108	  0.548	  0.548
10	  0.360	  2.652	  3.002	  0.775	  0.008
11	  0.360	  7.652	  3.002	  0.775	  0.009
12	  0.360	 12.652	  3.002	  0.775	  0.010
13	  0.360	 17.652	  3.002	  0.775	  0.012
14	  0.360	 22.652	  3.003	  0.775	  0.014
15	  0.360	 27.652	  3.003	  0.775	  0.017
16	  0.360	 32.652	  3.004	  0.775	  0.022
17	  0.360	 37.652	  3.006	  0.775	  0.031
18	  0.360	 42.652	  3.010	  0.773	  0.052
19	  0.360	 47.649	  3.030	  0.760	  0.152
20	  0.360	  2.652	  5.000	  0.775	 -0.000
21	  0.360	  7.652	  5.000	  0.775	  0.000
22	  0.360	 12.652	  5.000	  0.775	 -0.000
23	  0.360	 17.652	  5.000	  0.775	  0.000
24	  0.360	 22.652	  5.000	  0.775	  0.000
25	  0.360	 27.652	  5.000	  0.775	  0.000
26	  0.360	 32.652	  5.000	  0.775	  0.000
27	  0.360	 37.652	  5.000	  0.775	 -0.000
28	  0.360	 42.652	  5.000	  0.775	  0.000
29	  0.360	 47.652	  5.000	  0.775	  0.000
30	  0.360	  2.652	  6.998	  0.775	 -0.008
31	  0.360	  7.652	  6.998	  0.775	 -0.009
32	  0.360	 12.652	  6.998	  0.775	 -0.010
33	  0.360	 17.652	  6.998	  0.775	 -0.012
34	  0.360	 22.652	  6.997	  0.775	 -0.014
35	  0.360	 27.652	  6.997	  0.775	 -0.017
36	  0.360	 32.652	  6.996	  0.775	 -0.022
37	  0.360	 37.652	  6.994	  0.775	 -0.031
38	  0.360	 42.652	  6.990	  0.773	 -0.052
39	  0.360	 47.649	  6.970	  0.760	 -0.152
40	  0.360	  2.652	  8.992	  0.774	 -0.041
41	  0.360	  7.652	  8.991	  0.774	 -0.045
42	  0.360	 12.652	  8.990	  0.773	 -0.052
43	  0.360	 17.652	  8.988	  0.773	 -0.059
44	  0.360	 22.652	  8.986	  0.772	 -0.070
45	  0.360	 27.651	  8.983	  0.770	 -0.086
46	  0.360	 32.651	  8.978	  0.767	 -0.110
47	  0.360	 37.649	  8.970	  0.760	 -0.152
48	  0.360	 42.645	  8.952	  0.735	 -0.245
49	  0.360	 47.608	  8.892	  0.548	 -0.548
0	  0.480	  2.754	  1.013	  0.930	  0.049
1	  0.480	  7.754	  1.015	  0.930	  0.055
2	  0.480	 12.754	  1.017	  0.929	  0.062
3	  0.480	 17.754	  1.020	  0.928	  0.071
4	  0.480	 22.753	  1.023	  0.927	  0.084
5	  0.480	 27.753	  1.028	  0.926	  0.103
6	  0.480	 32.752	  1.036	  0.922	  0.132
7	  0.480	 37.749	  1.050	  0.913	  0.183
8	  0.480	 42.741	  1.080	  0.883	  0.294
9	  0.480	 47.680	  1.180	  0.658	  0.658
10	  0.480	  2.754	  3.003	  0.931	  0.010
11	  0.480	  7.754	  3.003	  0.931	  0.011
12	  0.480	 12.754	  3.003	  0.931	  0.012
13	  0.480	 17.754	  3.004	  0.931	  0.014
14	  0.480	 22.754	  3.005	  0.931	  0.017
15	  0.480	 27.754	  3.006	  0.931	  0.021
16	  0.480	 32.754	  3.007	  0.931	  0.027
17	  0.480	 37.754	  3.010	  0.930	  0.037
18	  0.480	 42.754	  3.017	  0.929	  0.062
19	  0.480	 47.749	  3.050	  0.913	  0.183
20	  0.480	  2.754	  5.000	  0.931	 -0.000
21	  0.480	  7.754	  5.000	  0.931	  0.000
22	  0.480	 12.754	  5.000	  0.931	 -0.000
23	  0.480	 17.754	  5.000	  0.931	 -0.000
24	  0.480	 22.754	  5.000	  0.931	  0.000
25	  0.480	 27.754	  5.000	  0.931	  0.000
26	  0.480	 32.754	  5.000	  0.931	  0.000
27	  0.480	 37.754	  5.000	  0.931	 -0.000
28	  0.480	 42.754	  5.000	  0.931	  0.000
29	  0.480	 47.754	  5.000	  0.931	  0.000
30	  0.480	  2.754	  6.997	  0.931	 -0.010
31	  0.480	  7.754	  6.997	  0.931	 -0.011
32	  0.480	 12.754	  6.997	  0.931	 -0.012
33	  0.480	 17.754	  6.996	  0.931	 -0.014
34	  0.480	 22.754	  6.995	  0.931	 -0.017
35	  0.480	 27.754	  6.994	  0.931	 -0.021
36	  0.480	 32.754	  6.993	  0.931	 -0.027
37	  0.480	 37.754	  6.990	  0.930	 -0.037
38	  0.480	 42.754	  6.983	  0.929	 -0.062
39	  0.480	 47.749	  6.950	  0.913	 -0.183
40	  0.480	  2.754	  8.987	  0.930	 -0.049
41	  0.480	  7.754	  8.985	  0.930	 -0.055
42	  0.480	 12.754	  8.983	  0.929	 -0.062
43	  0.480	 17.754	  8.980	  0.928	 -0.071
44	  0.480	 22.753	  8.977	  0.927	 -0.084
45	  0.480	 27.753	  8.972	  0.926	 -0.103
46	  0.480	 32.752	  8.964	  0.922	 -0.132
47	  0.480	 37.749	  8.950	  0.913	 -0.183
48	  0.480	 42.741	  8.920	  0.883	 -0.294
49	  0.480	 47.680	  8.820	  0.658	 -0.658
0	  0.600	  2.873	  1.020	  1.052	  0.055
1	  0.600	  7.873	  1.022	  1.052	  0.062
2	  0.600	 12.872	  1.025	  1.051	  0.070
3	  0.600	 17.872	  1.029	  1.051	  0.081
4	  0.600	 22.872	  1.034	  1.049	  0.095
5	  0.600	 27.871	  1.041	  1.047	  0.116
6	  0.600	 32.869	  1.053	  1.043	  0.149
7	  0.600	 37.866	  1.073	  1.033	  0.207
8	  0.600	 42.854	  1.118	  1.000	  0.333
9	  0.600	 47.764	  1.264	  0.745	  0.745
10	  0.600	  2.873	  3.004	  1.054	  0.011
11	  0.600	  7.873	  3.004	  1.054	  0.012
12	  0.600	 12.873	  3.005	  1.054	  0.014
